trade_date,symbol,value,momentum,low_volatility,circ_mv,forward_return,benchmark_return,usable_from,signal_at,execution_at
2018-01-31,FIX000,1.455515322,0.1528961115,1.030199672,15627.91982,-0.02769246607,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX001,1.9425092,-1.024469709,0.6884745564,10422.48738,0.0518162897,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX002,2.407261281,-1.09064679,0.3387229149,75719.71529,0.03510249221,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX003,2.79771344,0.7387482144,-1.277210925,52193.54582,-0.004777562607,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX004,1.510097341,-0.8785246119,2.038225426,12247.57165,0.006723790292,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX005,1.633897395,-1.243468444,-0.2345030661,14563.90657,-0.02369372977,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX006,1.013267056,-0.5035277056,-0.2773121343,43621.78123,-0.0244657717,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX007,1.18073452,-1.733320533,0.6189468938,10926.43781,-0.03838344638,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX008,0.7842641365,-2.093451956,0.2674855221,11676.75563,-0.0325979783,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX009,1.348692345,-0.8525270758,1.305794205,7818.452068,-0.01234382921,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX010,0.9859746152,-0.7790026232,1.457626604,24814.728,0.01759614086,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX011,4.174070663,-2.601943825,-0.5879248458,24323.24572,-0.04472100485,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX012,1.74644038,-0.7411749309,0.9574636625,64284.63391,-0.003572787254,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX013,1.087390851,-2.129203744,-0.9847976484,14030.38674,-0.02985054398,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX014,0.2738904794,-0.7490803397,0.1849395749,8087.298311,-0.01670170862,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX015,1.349608019,-0.8189390113,-1.179451309,18040.10684,0.05335771153,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX016,2.850579198,-3.053443867,0.4976538309,35388.13397,-0.04022045755,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX017,1.484276409,-2.412100686,0.263756517,5651.735977,0.002156237655,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX018,1.879384902,-0.2109699458,-0.6117571482,49125.12092,0.02494050036,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX019,2.06403379,-1.706931022,0.133303288,28776.01441,-0.03119978576,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX020,1.059864855,-0.1961567815,0.9930775845,27679.77254,-0.001346853163,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX021,1.47775119,-0.003946252479,-0.1177258221,34416.01511,0.02158838799,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX022,1.650287759,-1.702096143,2.989724812,10682.38293,0.02337503442,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
2018-01-31,FIX023,1.427050448,-1.221267321,0.4851069537,10727.09475,-0.03541796636,-0.02339202879,2018-01-31T17:30:00+08:00,2018-01-31T18:00:00+08:00,2018-02-01T09:30:00+08:00
